posting_id,skill_name,skill_category
48855315,Python,language
48855315,TypeScript,language
48855315,Svelte,frontend
48855315,GraphQL,backend
48855315,PostgreSQL,data
48855315,AWS,cloud
48855315,GCP,cloud
48855315,Docker,cloud
48855315,LLM,ml
48855260,React,frontend
48855260,React Native,mobile
48852085,C++,language
48842857,Python,language
48842857,JavaScript,language
48842857,Java,language
48842857,Scala,language
48842857,React,frontend
48842857,Node.js,backend
48842857,Kafka,data
48842857,AWS,cloud
48842857,Docker,cloud
48842857,Kubernetes,cloud
48842857,Terraform,cloud
48842567,JavaScript,language
48842567,TypeScript,language
48842567,React,frontend
48842567,Next.js,frontend
48842567,Tailwind,frontend
48838599,TypeScript,language
48838599,Go,language
48838599,React,frontend
48838599,Azure,cloud
48837669,TypeScript,language
48837669,C#,language
48837669,SQL,data
48837669,React,frontend
48837669,Azure,cloud
48837669,CI/CD,cloud
48837183,Python,language
48837183,C#,language
48837183,Go,language
48837183,Linux,cloud
48835373,Java,language
48835373,Machine Learning,ml
48833943,Python,language
48833943,AWS,cloud
48833943,GCP,cloud
48833943,LLM,ml
48833034,JavaScript,language
48833034,TypeScript,language
48833034,C++,language
48833034,Go,language
48833034,Rust,language
48833034,Node.js,backend
48829225,Python,language
48829225,Go,language
48829225,Rust,language
48829225,Kubernetes,cloud
48825319,Rust,language
48825319,React,frontend
48825319,Node.js,backend
48825319,Android,mobile
48825319,React Native,mobile
48823535,JavaScript,language
48823535,Next.js,frontend
48823535,PostgreSQL,data
48823535,AWS,cloud
48819370,JavaScript,language
48819370,TypeScript,language
48819370,React,frontend
48819370,PostgreSQL,data
48819370,GCP,cloud
48818875,AWS,cloud
48818875,CI/CD,cloud
48818190,AWS,cloud
48818190,Azure,cloud
48818190,CI/CD,cloud
48818183,AWS,cloud
48818183,GCP,cloud
48818183,Azure,cloud
48817531,JavaScript,language
48817531,Node.js,backend
48817531,MongoDB,data
48813221,Java,language
48811937,Go,language
48811937,LLM,ml
48809559,C++,language
48809559,Rust,language
48806120,TypeScript,language
48806120,React,frontend
48806120,PostgreSQL,data
48806120,AWS,cloud
48805995,TypeScript,language
48805995,Go,language
48805995,Rust,language
48805995,React,frontend
48804757,Python,language
48804757,JavaScript,language
48804757,TypeScript,language
48804757,React,frontend
48804757,Node.js,backend
48802846,Python,language
48802846,TypeScript,language
48802846,C++,language
48802846,React,frontend
48802846,PostgreSQL,data
48802846,Linux,cloud
48802744,TypeScript,language
48802744,AWS,cloud
48801745,Python,language
48801745,JavaScript,language
48801745,SQL,data
48801745,React,frontend
48801745,Next.js,frontend
48801745,FastAPI,backend
48801745,GCP,cloud
48801745,Machine Learning,ml
48801745,LLM,ml
48797747,LLM,ml
48794643,JavaScript,language
48794583,Java,language
48794583,PostgreSQL,data
48794583,MySQL,data
48794583,Docker,cloud
48794583,Kubernetes,cloud
48792793,CI/CD,cloud
48792071,LLM,ml
48787393,Flutter,mobile
48783722,Python,language
48783722,JavaScript,language
48783722,TypeScript,language
48783722,React,frontend
48783722,Next.js,frontend
48783722,FastAPI,backend
48783722,PostgreSQL,data
48783722,Redis,data
48783722,GCP,cloud
48783722,Kubernetes,cloud
48783722,Terraform,cloud
48780213,Python,language
48780213,AWS,cloud
48780213,GCP,cloud
48780213,Azure,cloud
48780213,Machine Learning,ml
48780213,PyTorch,ml
48780213,TensorFlow,ml
48779432,Machine Learning,ml
48778752,Rust,language
48778752,Flutter,mobile
48775598,Python,language
48775598,TypeScript,language
48775598,Rails,backend
48775598,PostgreSQL,data
48775598,AWS,cloud
48775022,Python,language
