posting_id,thread_month,role_family,seniority,remote_flag,salary_min,salary_max,n_skills
48855315,2026-07,SDE,mid,0,150000,210000,9
48855260,2026-07,SDE,mid,1,120000,120000,2
48852085,2026-07,Other,mid,0,,,1
48848862,2026-07,Other,mid,0,200000,200000,0
48843116,2026-07,SDE,senior,1,185500,185500,0
48842857,2026-07,Data-ML,senior,0,,,11
48842567,2026-07,SDE,senior,1,,,5
48838599,2026-07,SDE,senior,1,90000,150000,4
48837669,2026-07,SDE,senior,1,,,6
48837183,2026-07,Other,senior,1,,,4
48835373,2026-07,Data-ML,senior,1,,,2
48833943,2026-07,Data-ML,senior,1,,,4
48833034,2026-07,SDE,senior,1,,,6
48829225,2026-07,SDE,senior,1,,,4
48825319,2026-07,SDE,senior,1,,,5
48825294,2026-07,Other,mid,0,,,0
48823535,2026-07,SDE,senior,0,120000,190000,4
48822697,2026-07,SDE,senior,1,,,0
48820118,2026-07,Other,senior,0,,,0
48819384,2026-07,Other,senior,0,43000,43000,0
48819370,2026-07,SDE,senior,1,,,5
48818875,2026-07,SDE,senior,1,,,2
48818464,2026-07,SDE,senior,1,,,0
48818190,2026-07,SDE,mid,1,60000,60000,3
48818183,2026-07,Other,senior,0,,,3
48817531,2026-07,SDE,senior,1,,,3
48813221,2026-07,SDE,mid,0,125000,200000,1
48812261,2026-07,SDE,senior,1,,,0
48811937,2026-07,Data-ML,mid,1,190000,190000,2
48811437,2026-07,SDE,senior,1,,,0
48810367,2026-07,Other,mid,0,30000,30000,0
48809559,2026-07,SDE,senior,1,200000,225000,2
48807202,2026-07,SDE,senior,1,,,0
48806521,2026-07,SDE,senior,1,,,0
48806181,2026-07,SDE,mid,1,,,0
48806120,2026-07,SDE,mid,1,,,4
48805995,2026-07,SDE,senior,1,,,4
48804757,2026-07,SDE,senior,0,,,5
48804695,2026-07,SDE,senior,1,,,0
48804251,2026-07,Other,mid,0,180000,220000,0
48802846,2026-07,SDE,mid,0,,,6
48802744,2026-07,Other,mid,0,160000,160000,2
48801914,2026-07,Other,mid,0,,,0
48801745,2026-07,Other,senior,0,,,9
48797833,2026-07,SDE,senior,0,54000,200000,0
48797747,2026-07,Other,mid,1,,,1
48794643,2026-07,SDE,senior,1,,,1
48794583,2026-07,SDE,senior,1,,,5
48792793,2026-07,SDE,senior,1,,,1
48792071,2026-07,SDE,senior,0,,,1
48791997,2026-07,Other,senior,0,180000,300000,0
48787393,2026-07,Other,senior,1,,,1
48783722,2026-07,SDE,senior,1,,,11
48782067,2026-07,Other,mid,1,175000,175000,0
48780213,2026-07,Data-ML,senior,0,,,7
48779432,2026-07,Other,mid,0,,,1
48778752,2026-07,SDE,mid,1,,,2
48778245,2026-07,SDE,mid,0,150000,150000,0
48775598,2026-07,Other,mid,0,200000,200000,5
48775022,2026-07,SDE,senior,1,,,4
48774670,2026-07,SDE,senior,0,85000,85000,6
48774583,2026-07,SDE,senior,0,,,5
48772824,2026-07,SDE,mid,1,,,7
48772521,2026-07,SDE,mid,0,,,4
48772462,2026-07,SDE,senior,1,,,4
48770198,2026-07,Other,senior,1,85000,125000,2
48769712,2026-07,Other,senior,0,150000,190000,0
48768633,2026-07,Data-ML,senior,0,,,4
48768550,2026-07,SDE,senior,0,67000,67000,0
48768318,2026-07,Other,senior,1,,,7
48767937,2026-07,SDE,mid,0,,,7
48767640,2026-07,Data-ML,senior,0,,,2
48767397,2026-07,Other,senior,1,200000,200000,3
48767262,2026-07,Other,senior,1,,,0
48766814,2026-07,SDE,mid,1,,,7
48766752,2026-07,Other,senior,1,,,0
48766311,2026-07,Other,senior,0,,,0
48766112,2026-07,SDE,mid,0,,,0
48765841,2026-07,SDE,senior,1,,,10
48765749,2026-07,Other,mid,1,,,4
48765578,2026-07,SDE,mid,0,105000,290000,1
48765532,2026-07,SDE,senior,1,,,0
48765345,2026-07,SDE,mid,1,,,11
48765082,2026-07,SDE,senior,1,200000,275000,8
48764956,2026-07,SDE,senior,1,140000,170000,7
48764770,2026-07,Other,mid,1,,,5
48764738,2026-07,Other,mid,0,,,0
48764582,2026-07,SDE,senior,1,150000,150000,11
48764209,2026-07,Other,mid,1,80000,120000,0
48764138,2026-07,SDE,senior,1,90000,270000,0
48763652,2026-07,Other,mid,0,,,3
48762979,2026-07,SDE,senior,1,,,0
48762916,2026-07,Other,mid,1,,,1
48762674,2026-07,SDE,senior,1,,,1
48762510,2026-07,SDE,mid,1,,,4
48762477,2026-07,Other,mid,1,,,0
48762450,2026-07,Other,senior,0,,,0
48762195,2026-07,SDE,mid,1,104000,136000,2
48762099,2026-07,SDE,mid,0,,,3
48761585,2026-07,SDE,senior,0,,,8
48761473,2026-07,Other,mid,1,,,2
48761457,2026-07,SDE,mid,1,,,7
48761162,2026-07,Other,mid,1,,,1
48761138,2026-07,SDE,senior,1,65000,65000,4
48760900,2026-07,SDE,senior,0,,,7
48760654,2026-07,Data-ML,mid,1,,,2
48760559,2026-07,Data-ML,senior,0,,,2
48760010,2026-07,SDE,senior,0,,,4
