feature,pct_premium,p_value
skill::Android,0.3242090355446723,0.01843969411553717
role_Other,0.286846405213226,0.06551651042154207
skill::Rails,0.26974536255170456,0.030495189407592705
skill::Kafka,0.26728002954254526,0.023212871239133046
skill::MySQL,0.2284949564823111,0.11428264307123777
role_SDE,0.2268827582345161,0.1272000344795241
skill::Java,0.19664750741383363,0.04589861858083389
role_Data-ML,0.18889444110264253,0.21405889787180943
skill::Django,0.18563824137169127,0.06719748040945414
skill::SQL,0.1583622646056031,0.05274972881132332
skill::Terraform,0.152084740519274,0.03718872656388908
skill::PyTorch,0.1408279897867568,0.21716074147441594
skill::GraphQL,0.12822201674241107,0.1224231083892306
skill::TypeScript,0.10936267557782609,0.01729218761940399
skill::GCP,0.10536976871242865,0.10701264009894207
skill::Python,0.10312333269905327,0.015931322366161304
skill::Kotlin,0.09713726361117225,0.4206702727247569
skill::JavaScript,0.08804630293472493,0.12220185159606188
skill::Docker,0.06794457943855448,0.3040698394889259
skill::Machine Learning,0.06001357228966331,0.24084038989643985
skill::Ruby,0.05358313875817822,0.6508857209574952
skill::FastAPI,0.0384275237364784,0.6844603634959481
skill::PostgreSQL,0.03168941875108411,0.4942141737504382
skill::CI/CD,0.013398367235824438,0.8701954542725248
skill::C#,-0.015026614482069878,0.8958882027701511
skill::Rust,-0.022601022922292158,0.705332588373853
skill::Vue,-0.02313267548665099,0.8139382440911297
skill::Go,-0.03317623862645935,0.4336796095239692
skill::AWS,-0.03514338008462481,0.442317252256077
skill::React,-0.03938815891962821,0.3695390550406714
skill::LLM,-0.05547073192105678,0.267071558039747
remote,-0.05928191252726811,0.04023899509380344
skill::MongoDB,-0.06465636439879363,0.5371474470501725
skill::Node.js,-0.10250769406765814,0.06422375087251952
skill::iOS,-0.10463171833362339,0.3463015970277239
skill::Computer Vision,-0.11222712442853888,0.13021874910768422
skill::Azure,-0.1241810888927245,0.18095445015800662
skill::C++,-0.13053960581487845,0.0793010207963422
skill::Kubernetes,-0.1309375983521599,0.013897187272484263
skill::Linux,-0.1631775210333224,0.08033479911710117
skill::Next.js,-0.19236668994276007,0.0009358398634028044
skill::React Native,-0.20639987638774393,0.009635679147964184
skill::Tailwind,-0.2511633050505985,0.01414612806574529
skill::Redis,-0.2686160913393173,0.0004912659020051788
